,Date,orig_SO,ShipDate,Specifier,Customer,Job_Name,Summary,Product_Family,Qty,Qty_On_Order,Prob_Part,Replaced,Repl_SO,RMA,Comments,Code
16,2/20/2020,SO85880,,VENTURE ARCHITECTS,WERNER ELECTRIC SUPPLY - PEWAUKEE,WALWORTH HEALTH , REPORTED DEFECTIVE ,BEVELED,1,,LEM-218-00-35KS,,,RMA13654,,ELECTRICAL
17,2/20/2020,SO70007,,GABE,GOODMART,10 BEACH STREET,  REPORTED DEFECTIVE ,SLIVERLED WGD,3,,LEM-281-00-2722KS,,,RMA13652,,ELECTRICAL
18,2/19/2020,SO95758,,SYSKA HENNESSY,WELTMANN LIGHTING LLC,THE D E SHAW GROUP /Q45960,  REPORTED DEFECTIVE ,BEVELED,1,,LEM-218-00-35KS,,,RMA13648,,ELECTRICAL
19,2/19/2020,SO71206,,HLW,CHELSEA LIGHTING,CANADIAN CONSULATE ,  REPORTED DEFECTIVE ,NANO/MINI,2,,LEM-203-00-35KS,,,RMA13646,,ELECTRICAL
20,2/19/2020,SO75179,,*KS,GRAYBAR ELECTRIC-ST LOUIS,AMTECK,  REPORTED DEFECTIVE ,NANO/MINI,4,,LEM-203-00-30KS,,,RMA13645,,ELECTRICAL
21,2/19/2020,SO72974,,RPA ASSOCIATES,COLONIAL ELECTRIC,GSK Q36496,  REPORTED DEFECTIVE ,BEVELED 2.1,5,,LEM-240-00-35KS,,,RMA13640,,ELECTRICAL
22,2/19/2020,,,NA,CED-MILLER ELECTRIC,NA,  REPORTED DEFECTIVE ,NANO/MINI,1,,LEM-203-00-30KS,,,RMA13639,,ELECTRICAL
23,2/18/2020,SO50062,,STG DESIGN,CED - NUNN/AUSTIN,APPLE CAPITAL RIDGE PHASE 1,  REPORTED DEFECTIVE ,BEVELED BASIC,2,,LEM-213-00-35KS,,,RMA13635,,ELECTRICAL
24,2/18/2020,SO64280,,*JM ,TRI ARC ELECTRIC SUPPLY,MARIOS ,  REPORTED DEFECTIVE ,NANO/MINI,1,,LEM-203-00-30KH,,,RMA13634,,ELECTRICAL
25,2/18/2020,SO58070,,ARCHILUCE INTERNATIONAL (OOT) ,REXEL-ORLANDO,MARRIOTT - DOWNTOWN ORLANDO/Q31575,"  REPORTED  All fixtures are receiving power, all drivers are working, but the LED is defectiv ",BEVELED 2.1,25,,LEM-240-00-27KS,,,RMA13633,,ELECTRICAL
26,2/18/2020,SO48249,,SIGNUM ARCHITECTURE ,"INDEPENDENT ELECTRIC SUPPLY, INC.-SANTA ROSA",KARINYA RESIDENCE ,  REPORTED 2 FIXTURES STOPPED WORKING ,BEVELED 2.2,2,,LEM-275-16-3022KH,,,RMA13630,,ELECTRICAL
27,2/17/2020,SO55991,,TMDA,INDEPENDENT ELECTRIC - MILPITAS,SURVEY MONKEY SAN MATEO 2  CEI LOBBY/Q29923 ,ORIGINAL SO# 55991 //CUSTOMER SENT BACK  - NEEDS REPL LEDS   ,BEVELED,2,,LEM-218-00-35KS,,,RMA13629,,ELECTRICAL
28,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,4,,LEM-239-00-27KS,,,RMA13622,,ELECTRICAL
29,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,58,,LEM-239-00-27KS,,,RMA13622,,ELECTRICAL
30,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,10,,LEM-239-00-27KS,,,RMA13622,,ELECTRICAL
31,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,32,,LEM-239-00-27KS,,,RMA13622,,ELECTRICAL
32,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,12,,LEM-239-00-27KS,,,RMA13622,,ELECTRICAL
33,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,42,,LEM-240-00-27KS,,,RMA13622,,ELECTRICAL
34,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,4,,LEM-240-00-27KS,,,RMA13622,,ELECTRICAL
35,2/17/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,14,,LEM-240-00-27KS,,,RMA13622,,ELECTRICAL
36,2/14/2020,SO98483,,FOGARTY FINGER,LIGHTSMITH INC,2 RECTOR STREET 101 GREENWICH ,  REPORTED DIFFERENT COLOR LED ,BEVELED BASIC,2,,LEM-213-00-30KS,,,RMA13617,,ELECTRICAL
37,2/13/2020,SO99004,,NA,DOMINION ELECTRIC-ARLINGTON,1875 K ST 7TH FL SPEC SUITE NW DC,  REPORTED DEFECTIVE ,BEVELED 2.1,1,,LEM-240-00-35KS,,,RMA13615,,ELECTRICAL
38,2/13/2020,SO46918,,DESIGN BUILD,ABNI'S ELECTRICAL & LIGHTING SUPPLY INC,820 HARBOR DRIVE-KEY BISCAYNE,  REPORTED  LIGHTS ARE FLASHING OFF AND ON ,BEVELED BASIC,4,,LEM-213-00-27KS,,,RMA13613,,ELECTRICAL
39,2/12/2020,,,NA,WIEDENBACH BROWN - HICKSVILLE,NA,  REPORTED DEFECTIVE ,BEVELED BASIC,1,,LEM-213-00-35KS,,,RMA13609,,ELECTRICAL
40,2/12/2020,SO86824,,NA,LIGHT BULBS UNLIMITED - WINTER PARK,NA, REPORTED DEFECTIVE ,BEVELED 2.2,1,,LEM-275-32-2722KH,,,RMA13607,,ELECTRICAL
41,2/12/2020,SO99049,,CROSSED,GRAYBAR ELECTRIC-ST LOUIS,SUNSET COUNTRY CLUB PATIO,  REPORTED DEFECTIVE ,BEVELED PRIMARY,1,,LEM-307-00-30KS,,,RMA13606,,ELECTRICAL
42,2/12/2020,,,NA,CHELSEA LIGHTING,NA,  REPORTED FIXTURES WORK - BUT COLOR TEMP (LED) IS OFF ,BEVELED 2.1,2,,LEM-240-00-35KS,,,RMA13605,,ELECTRICAL
43,2/12/2020,,,NA,CANTLON,NA,  REPORTED DEFECTIVE ,BEVELED WGD,1,,LEM-204-00-2722KS,,,RMA13604,,ELECTRICAL
44,2/12/2020,,,NA,CANTLON,NA,  REPORTED DEFECTIVE ,BEVELED COLOR SELECT,1,,LEM-219-00-6022KS,,,RMA13604,,ELECTRICAL
45,2/12/2020,,,NA,SCOTT ELECTRIC COMPANY,NA,  REPORTED DEFECTIVE ,NANO/MINI,5,,LEM-203-00-35KS,,,RMA13603,,ELECTRICAL
46,2/11/2020,SO72528,,EWING COLE CHERRY BROTT,GRAYBAR ELECTRIC-ST LOUIS,MSKCC NASSAU REGIONAL Q32332,  REPORTED STOPPED WORKING ,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13595,,ELECTRICAL
47,2/11/2020,SO65553,,MAX HOOVER /Amanda Sullivan Studio Architecture ,GOODMART,SHOWROOM ,  REPORTED DEFECTIVE ,NANO/MINI,2,,LEM-203-00-27KH,,,RMA13594,,ELECTRICAL
48,2/11/2020,SO94974,,CORE ARCHITECTURE AND DESIGN,DULLES ELEC,WHITMAN WALKER HEALTH,  REPORTED NOT TURNING ON ,BEVELED MINI,1,,LEM-319-00-30KU,,,RMA13593,,ELECTRICAL
49,2/10/2020,SO91988,,FISHER MARANTZ STONE (OOT),INDEPENDENT ELECTRIC - MILPITAS,GOOGLE BAY VIEW/QUOTE 44077,  REPORTED ORANGE COLOR  ,BEVELED 2.1,15,,LEM-240-00-30KS,,,RMA13590,,ELECTRICAL
50,2/10/2020,SO77824,,SBLD,SONEPAR USA/COOPER,HOGAN LOVELL 12 FL/QUOTE 36103,  REPORTED YELLOW COLOR - NOT COMING TO A FULL BRIGHTNESS  ,NANO/MINI,2,,LEM-203-00-35KS,,,RMA13589,,ELECTRICAL
51,2/10/2020,SO93791,,DESIGN BUILD,N&S ELECTRIC SUPPLY,MELVILLE CAPITAL STARK RESIDENCE,  REPORTED DEFECTIVE ,BEVELED MINI,2,,LEM-336-00-RGB30KS,,,RMA13588,,ELECTRICAL
52,2/10/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED SOMES ISSUES WITH BLINKING OR STROBING - HAPPENING AT COLD START AT BOTH DIMMER/SWITCHED CIRCUITS,BEVELED 2.1,10,,LEM-240-00-27KS,,,RMA13586,,ELECTRICAL
53,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,32,,LEM-239-00-27KS,,,RMA13581,,ELECTRICAL
54,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,58,,LEM-239-00-27KS,,,RMA13581,,ELECTRICAL
55,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,4,,LEM-239-00-27KS,,,RMA13581,,ELECTRICAL
56,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,12,,LEM-239-00-27KS,,,RMA13581,,ELECTRICAL
57,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.2,10,,LEM-239-00-27KS,,,RMA13581,,ELECTRICAL
58,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,4,,LEM-240-00-27KS,,,RMA13581,,ELECTRICAL
59,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,14,,LEM-240-00-27KS,,,RMA13581,,ELECTRICAL
60,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEAD LIGHTS ,BEVELED 2.1,42,,LEM-240-00-27KS,,,RMA13581,,ELECTRICAL
61,2/7/2020,,,NA,FACILITY SOLUTION GROUP (FSG),NA,  REPORTED DRIVER OUT,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13579,,ELECTRICAL
62,2/7/2020,SO69992,,CORGAN OOT,REXEL - RIVIERA BEACH ,LOCKE LORD Q34894,  REPORTED 1 BAD DRIVER & 5 BAD LED'S ,NANO/MINI,5,,LEM-203-00-35KS,,,RMA13576,,ELECTRICAL
63,2/7/2020,,,NA,USA ILLUM WARRANTY,NA,"REPORTED COLOR TEMP ISSUES - 3 OF THE LIGHTS CHANGED COLOR. 2 ARE YELLOWER THAN THE REST, 1 MORE BLUE, COOLER IN THAN THE REST",NANO/MINI,5,,LEM-203-00-27KS,,,RMA13573,,ELECTRICAL
64,2/6/2020,SO92145,,LIGHTING WORKSHOP,GOTHAM LIGHTING,S&P GLOBAL,  REPORTED LIGHT OUT ,SLIVERLED,1,,LEM-274-00-30KS,,,RMA13569,,ELECTRICAL
65,2/6/2020,SO72577,,MELANIE FREUNDLICH LIGHTING DESIGN (OOT) ,"USESI, US ELECTRICAL SERVICES, INC", WILLIAMS COLLEGE RESIDENCE HALL - CDE DORM/QUOTE 32919,  REPORTED 2 FIXTURES NO LONGER WORKING AND 3 DISCOLORED ,NANO/MINI,3,,LEM-203-00-30KS,,,RMA13567,,ELECTRICAL
66,2/6/2020,,,NA,CED - AUSTIN,NA,  REPORTED LIGHTS OUT,BEVELED BASIC,5,,LEM-213-00-35KS,,,RMA13566,,ELECTRICAL
67,2/5/2020,SO81028,,DESIGN BUILD,REXEL-CLS-HARTFORD,NA HOKU / QUOTE 39201,  REPORTED BURNT LED ,BEVELED 2.2,1,,LEM-239-00-40KS,,,RMA13565,,ELECTRICAL
68,2/5/2020,,,NA,REXEL-CLS-HARTFORD,NA,  REPORTED BURNT LED ,BEVELED 2.1,1,,LEM-240-00-40KS,,,RMA13565,,ELECTRICAL
69,2/5/2020,SO86830,,ONE LUX STUDIO,WELTMANN LIGHTING LLC,SIDLEY AUSTIN/QUOTE 42327,  REPORTED FLICKERING ,BEVELED MINI,1,,LEM-319-00-30KH,,,RMA13562,,ELECTRICAL
70,2/5/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED BY-PASSED THE DIMMERS & THE PROBLEM STIL EXISTS,NANO/MINI,18,,LEM-203-00-27KH,,,RMA13560,,ELECTRICAL
71,2/4/2020,SO82975,,ZGF (OOT),KITOKO LIGHTING & ENGINEERING,US CONSULATE SHENYANG CHINA Q39913,  REPORTED DISCOLORED LIGHT ENGINES ,NANO/MINI,6,,LEM-203-00-35KS,,,RMA13558,,ELECTRICAL
72,2/4/2020,SO54189,,RENFRO DESIGN GROUP,WIEDENBACH BROWN - HAWTHORNE,CORNELL TECH FOREST CITY OFFICE BUILDING / Q27841,  REPORTED DEFECTIVE ,BEVELED 2.1,5,,LEM-240-00-30KS,,,RMA13557,,ELECTRICAL
73,2/4/2020,SO89477,,CLINE BETTRIDGE BERNSTEIN LIGHTING DESIGN,UNITED LIGHTING & ELECTRICAL GROUP-COMMACK,THE BELNORD,  REPORTED DEFECTIVE  ,NANO/MINI,1,,LEM-203-00-30KH,,,RMA13554,,ELECTRICAL
74,2/3/2020,,,NA,GRAYBAR ELECTRIC-ST LOUIS,NA,  REPORTED lLIGHTS OUT ,NANO/MINI,20,,LEM-203-00-30KS,,,RMA13549,,ELECTRICAL
75,1/31/2020,SO49470,,LIGHT SWITCH,STEINER ELECTRIC,1001 SOUTH STATE STREET,  REPORTED DEFECTIVE ,BEVELED 2.1,1,,LEM-240-00-30KS,,,RMA13544,,ELECTRICAL
76,1/31/2020,,,NA,LUPARELLO LIGHTING,NA,  REPORTED DEFECTIVE ,BEVELED 2.1,1,,LEM-240-00-30KS,,,RMA13543,,ELECTRICAL
77,1/31/2020,,,NA,LUPARELLO LIGHTING,NA,  REPORTED DEFECTIVE ,BEVELED 2.1,1,,LEM-240-00-35KS,,,RMA13543,,ELECTRICAL
78,1/30/2020,SO42111,,DREWBERRY ,DOMINION ELECTRIC-ARLINGTON,900 16TH ST//Q#21795,  REPORTED (6) DEFECTIVE - NEW CLAIM (4) MORE FAILED ,NANO/MINI,6,,LEM-203-00-35KS,,,RMA13542,,ELECTRICAL
79,1/30/2020,SO42111,,DREWBERRY ,DOMINION ELECTRIC-ARLINGTON,900 16TH ST//Q#21795,  REPORTED (6) DEFECTIVE - NEW CLAIM (4) MORE FAILED ,NANO/MINI,4,,LEM-203-00-35KS,,,RMA13542,,ELECTRICAL
80,1/30/2020,SO70257,,TPG ARCHITECTURE,LIGHTING DESIGN ASSOCIATES,IDEALIST - 389 FIFTH AVENUE FLOOR 9,  REPORTED DISCOLARATION  ,BEVELED BASIC,6,,LEM-213-00-30KS,,,RMA13539,,ELECTRICAL
81,1/30/2020,SO80275,,CROSSED,CED-EL PASO,THE PLAZA ROOMS Q39060,  REPORTED 48 of the fixtures turning “yellower- or warmer.”  ,NANO/MINI,48,,LEM-203-00-30KS,,,RMA13535,,ELECTRICAL
82,1/29/2020,SO97915,,STUDIO ARCHITECURE,VALLEY LIGHTING-LINTHICUM,GU 215 WISCONSIN AVE-QT46514,  REPORTED 1 LIGHT ENGINE HAS A DIFFERENT COLOR  ,BEVELED 2.1,1,,LEM-240-00-35KS,,,RMA13534,,ELECTRICAL
83,1/29/2020,SO49355,,LANG LIGHTING,PARRISH HARE ELECTRIC-DALLAS,TURTLE CREEK-PEROT,  REPORTED MORE FIXTURES OUT ,BEVELED 2.1,11,,LEM-240-00-35KS,,,RMA13531,,ELECTRICAL
84,1/29/2020,SO75835,,BSA LIFESTRUCTURES,FROST ELEC,SISTERS OF ST. FRANCIS CONVENT,  REPORTED BLUE COLOR LED  ,BEVELED 2.1,1,,LEM-212-00-6022KS,,,RMA13530,,ELECTRICAL
85,1/28/2020,SO56486,,Cline Bettridge Bernstein Lighting Design,MICHAELS ELECTRIC,SUNSET DRIVE ,  REPORTED DEFECTIVE ,BEVELED 2.1,6,,LEM-212-00-6022KS,,,RMA13528,,ELECTRICAL
86,1/28/2020,,,NA,VAN METER - DES MOINES,NA,  REPORTED FIXTURE WILL NOT LIGHT,BEVELED 2.1,1,,LEM-293-00-40KS,,,RMA13527,,ELECTRICAL
87,1/28/2020,,,NA,USA ILLUM WARRANTY,NA, REPORTED DEFECTIVE - NOT LIGHTING UP,BEVELED BASIC,12,,LEM-213-00-30KS,,,RMA13526,,ELECTRICAL
88,1/28/2020,,,NA,WALTERS WHOLESALE - SAN DIEGO,NA,  REPORTED DISCOLORING LED'S ,NANO/MINI,1,,LEM-203-00-30KS,,,RMA13525,,ELECTRICAL
89,1/28/2020,,,NA,WALTERS WHOLESALE - SAN DIEGO,NA,  REPORTED DISCOLORING LED'S ,BEVELED BASIC,10,,LEM-213-00-30KS,,,RMA13525,,ELECTRICAL
90,1/28/2020,,,NA,WALTERS WHOLESALE - SAN DIEGO,NA,  REPORTED DISCOLORING LED'S ,BEVELED 2.1,4,,LEM-240-00-30KS,,,RMA13525,,ELECTRICAL
91,1/28/2020,,,NA,NORTH COAST ELECTRIC - PORTLAND,NA,  REPORTED DEFECTIVE ,NANO/MINI,1,,LEM-203-00-30KH,,,RMA13523,,ELECTRICAL
92,1/27/2020,,,NA,KIRBY RISK CORPORATION,NA,  REPORTED DEFECTIVE ,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13520,,ELECTRICAL
93,1/27/2020,,,NA,CED-DALLAS,NA,REPORTED FAILURE LED BOARDS,BEVELED 2.1,2,,LEM-240-00-27KS,,,RMA13519,,ELECTRICAL
94,1/27/2020,SO95758,,SYSKA HENNESSY,WELTMANN LIGHTING LLC,THE D E SHAW GROUP /Q45960,  REPORTED 2 FIXTURES NOT ILLUMINATING AND 1 BROKEN TRIM ,BEVELED 2.1,2,,LEM-240-00-35KS,,,RMA13515,,ELECTRICAL
95,1/27/2020,SO96492,,WRNS STUDIO,GRAYBAR ELECTRIC-ST LOUIS,FACEBOOK MPK 62/QUOTE 41909,  REPORTED DIFFERENT COLOR LED ,BEVELED BASIC,1,,LEM-213-00-40KS,,,RMA13514,,ELECTRICAL
96,1/27/2020,SO86266,,LSM,CED - CHEVERLY,HAMILTON SQUARE,  REPORTED DIFFERENT COLOR TEMP FROM THE REST. ,NANO/MINI,2,,LEM-203-00-30KS,,,RMA13513,,ELECTRICAL
97,1/24/2020,SO91711,,HIGHLAND ASSOCIATES (OOT),DOMINION ELECTRIC-ARLINGTON,ALIGNED ENERGY CENTURION / Q 41876,  REPORTED DEFECTIVE COLOR LED  ,BEVELED PRIMARY,3,,LEM-307-00-30KH,,,RMA13510,,ELECTRICAL
98,1/24/2020,SO92396,,DLR GROUP,LONESTAR ELECTRIC SUPPLY,GOOGLE EXPANSION - COLONNADE II,  REPORTED LIGHT STOP WORKING ,NANO/MINI,1,,LEM-203-00-35KS,,,RMA13509,,ELECTRICAL
99,1/23/2020,SO92562,,NA,CED - ORANGE,NA,  REPORTED  MORE FAILURES (7) OUT OF (31) ,NANO/MINI,1,,LEM-203-00-30KS,,,RMA13508,,ELECTRICAL
100,1/23/2020,SO75356,,DESIGN BUILD,MAYER ELECTRIC SUPPLY - MOBILE,KENNEDY HOUSE,  REPORTED 6 FIXTURES HAVING COLOR ISSUES ,BEVELED PRIMARY,11,,LEM-307-00-30KS,,,RMA13506,,ELECTRICAL
101,1/23/2020,SO78668,,RNL ARCHITECTURE,QED-DVR,DENVER WATER WELLNESS CENTER Q38148,  REPORTED DEFECTIVE TYPE D4 + TYPE D5  ,BEVELED 2.1,1,,LEM-240-00-35KS,,,RMA13504,,ELECTRICAL
102,1/23/2020,SO40024,,HDR,ECHO ELECTRIC SUPPLY - COUNCIL BLUFFS,THINK / MID AMERICA PLAZA,  REPORTED DEFECTIVE ,NANO/MINI,4,,LEM-203-00-35KS,,,RMA13502,,ELECTRICAL
103,1/23/2020,SO54361,,BORGES ARCHITECTURAL GROUP,"INDEPENDENT ELECTRIC SUPPLY, INC.-SACRAMENTO",FARM CREDIT WEST PHASE 2,  REPORTED DEFECTIVE ,NANO/MINI,18,,LEM-203-00-40KS,,,RMA13500,,ELECTRICAL
104,1/23/2020,SO49900,,NA,CED-SAVANNAH,8025-DM968736S,  REPORTEDBURNED OUT OR HAVE COLOR SHIFT ,NANO/MINI,12,,LEM-203-00-27KS,,,RMA13498,,ELECTRICAL
105,1/23/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEFECTIVE,BEVELED 2.0 WGD,4,,LEM-198-32-2722KS,,,RMA13497,,ELECTRICAL
106,1/23/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEFECTIVE,BEVELED 2.0 WGD,10,,LEM-198-32-2722KS,,,RMA13497,,ELECTRICAL
107,1/23/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEFECTIVE,BEVELED 2.0 WGD,10,,LEM-198-32-2722KS,,,RMA13497,,ELECTRICAL
108,1/23/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEFECTIVE,BEVELED 2.0 WGD,4,,LEM-198-32-2722KS,,,RMA13497,,ELECTRICAL
109,1/22/2020,SO75460,,HLB ,WIEDENBACH BROWN - HICKSVILLE,MSKCC 74TH 5TH,  REPORTED FAILED ONSITE ,BEVELED 2.1,1,,LEM-212-00-6022KS,,,RMA13493,,ELECTRICAL
110,1/22/2020,SO95446,,SYSKA HENNESSY,FACILITY SOLUTIONS GROUP - NEW YORK,DIAGEO /Q44925,  REPORTED 1 BAD - 1 NOT PRODUCING RED LIGHT- 1 NOT PRODUCING WHITE LIGHT  ,BEVELED 2.1,3,,LEM-273-00-RGB30KS,,,RMA13492,,ELECTRICAL
111,1/22/2020,SO92985,,LAM PARTNERS,GRAYBAR ELECTRIC-ST LOUIS,808 COMMONWEALTH AVE /Q41013,  REPORTED DRIVER IS WORKING NEED REPL LED ,NANO/MINI,1,,LEM-203-00-30KS,,,RMA13490,,ELECTRICAL
112,1/22/2020,SO99912,,NA,P M Construction Services,NA,  REPORTED DEFECTIVE ,BEVELED 2.0,1,,LEM-230-16-30KS,,,RMA13488,,ELECTRICAL
113,1/22/2020,SO99912,,NA,P M Construction Services,NA,  REPORTED DEFECTIVE ,BEVELED 2.0,1,,LEM-230-16-30KS,,,RMA13488,,ELECTRICAL
114,1/22/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED DEFECTIVE,NANO/MINI,11,,LEM-203-00-27KH,,,RMA13487,,ELECTRICAL
115,1/22/2020,SO79447,,BURO HAPPOLD (OOT),CED-DENVER,DENVER ART MUSEUM/QUOTE 38634,  REPORTED BURNING YELLOW COLOR  ,BEVELED BASIC,1,,LEM-213-00-30KS,,,RMA13486,,ELECTRICAL
116,1/21/2020,,,NA,ANIXTER POWER SOLUTIONS LLC,NA,  REPORTED DEFECTIVE ,BEVELED 2.1,2,,LEM-212-00-6022KS,,,RMA13484,,ELECTRICAL
117,1/21/2020,,,NA,"UNITED ELECTRIC SUPPLY CO., INC-BELTSVILLE",NA,REPORTED DEFECTIVE LIGHT ENGINE - NOT LIGHTING UP ,BEVELED BASIC,2,,LEM-213-00-35KS,,,RMA13479,,ELECTRICAL
118,1/21/2020,SO100111,,NA,"USESI, US ELECTRICAL SERVICES, INC",AON - 1100 Virginia Dr., REPORTED DEFECTIVE DRIVER & WILL BE RETURNING PREVIOUS LED ORDER,NANO/MINI,2,,LEM-203-00-35KS,,,RMA13478,,ELECTRICAL
119,1/21/2020,,,NA,SONEPAR USA/WORLD,NA,REPORTED DEFECTIVE NOT LIGHTING UP,BEVELED PRIMARY,1,,LEM-307-00-30KS,,,RMA13477,,ELECTRICAL
120,1/20/2020,,,NA,SONEPAR USA/COOPER,NA,REPORTED REPLACEMENT DRIVER DIDN'T FIX THE ISSUE IT'S LIGHT ENGINE,SLIVERLED,1,,LEM-274-00-35KS,,,RMA13472,,ELECTRICAL
121,1/20/2020,,,NA,USA ILLUM WARRANTY,NA,REPORTED BAD COLOR LED,BEVELED 2.1,58,,LEM-240-00-35KS,,,RMA13471,,ELECTRICAL
