"","E2","Month","Return_Qty","Total_Cost"
"78","E2-721","April",3,90.45
"79","E2-721","February",9,398.41
"80","E2-721","January",9,336.91
"81","E2-721","July",7,205.39
"82","E2-721","June",8,215.12
"83","E2-721","March",1,33.33
"84","E2-711","June",1,21.49
"85","E2-710","April",1,21.48
"86","E2-709","April",1,22.29
"87","E2-709","May",1,22.9
"88","E2-708","June",1,24.08
"89","E2-708","March",1,22.71
"90","E2-707","April",4,101.68
"91","E2-707","February",2,51.28
"92","E2-707","July",22,565.62
"93","E2-707","March",3,77.69
"94","E2-707","May",5,129.08
"95","E2-703","April",1,22.82
"96","E2-703","July",4,88.42
"97","E2-703","June",8,172.55
"98","E2-702","February",1,23.86
"99","E2-702","July",12,406.79
"100","E2-702","June",18,666.25
"101","E2-702","May",3,120.27
"102","E2-701","April",31,665.81
"103","E2-701","March",1,24.41
"104","E2-701","May",1,21.38
"105","E2-699","June",10,489.7
"106","E2-698","January",2,45.64
"107","E2-698","July",25,644.15
"108","E2-698","June",2,52.45
"109","E2-696","January",1,55.2
"110","E2-696","May",1,54.97
"111","E2-676","January",1,52.28
"112","E2-675","July",12,663.84
"113","E2-652","February",1,57.52
"114","E2-622","January",8,379.68
"115","E2-618","March",1,54.46
"116","E2-610","January",3,154.32
"117","E2-610","June",3,154.32
"118","E2-610","March",3,155.28
"119","E2-610","May",7,356.04
"120","E2-573","March",10,1123.6
"121","E2-569","April",1,93.85
"122","E2-569","June",21,1970.85
"123","E2-552","May",2,53.53
"124","E2-533","March",1,32.56
"125","E2-532","July",1,36.81
"126","E2-532","June",12,369
"127","E2-527","April",4,93.16
"128","E2-527","February",2,46.18
"129","E2-527","January",52,942.2
"130","E2-527","July",2,43.74
"131","E2-527","June",2,36.16
"132","E2-527","March",33,736.77
"133","E2-527","May",12,241.92
"134","E2-526","April",9,221.35
"135","E2-526","February",98,1971.04
"136","E2-526","January",62,1621.82
"137","E2-526","July",27,1082.97
"138","E2-526","June",5,106.51
"139","E2-526","March",160,3417.6
"140","E2-526","May",20,877.67
"141","E2-520","April",2,86.99
"142","E2-520","February",2,74
"143","E2-520","January",1,49.7
"144","E2-516","April",2,73.44
"145","E2-516","June",2,60.38
"146","E2-493","March",4,231.08
"147","E2-491","January",10,608
"148","E2-490","February",2,123.98
"149","E2-488","February",2,104.52
"150","E2-488","July",1,54.44
"151","E2-486","January",2,135.78
"152","E2-486","June",1,67.89
"153","E2-486","May",1,67.89
"154","E2-469","April",1,73.32
"155","E2-469","June",18,1360.27
"156","E2-469","March",13,984.83
"157","E2-468","April",15,778.38
"158","E2-468","February",2,110.84
"159","E2-468","January",4,207
"160","E2-468","June",8,425.07
"161","E2-455","February",1,63.67
"162","E2-454","April",2,108.94
"163","E2-454","February",4,217.88
"164","E2-454","July",1,54.47
"165","E2-454","May",2,98.32
"166","E2-419","April",1,60.65
"167","E2-419","March",5,303.25
"168","E2-417","April",2,80.58
"169","E2-417","January",3,120.87
"170","E2-409","January",1,32.73
"171","E2-405","January",18,573.48
"172","E2-405","May",4,107.52
"173","E2-404","April",26,473.15
"174","E2-404","February",12,218.47
"175","E2-404","January",23,423.59
"176","E2-404","July",4,84.58
"177","E2-404","June",4,69.04
"178","E2-404","March",30,541.26
"179","E2-404","May",13,233.67
"180","E2-402","February",1,25.22
"181","E2-389","April",8,166.08
"182","E2-389","February",3,59.23
"183","E2-389","January",2,35.96
"184","E2-389","June",19,354.5
"185","E2-389","May",29,702.58
"186","E2-388","April",21,451.08
"187","E2-388","February",6,140.26
"188","E2-388","July",12,233.76
"189","E2-388","May",2,45.2
"190","E2-284","April",1,31.47
"191","E2-283","January",1,24.5
"192","E2-283","July",1,24.02
"193","E2-283","June",2,53.34
"194","E2-283","March",13,282.37
"195","E2-1013","April",8,473.92
"196","E2-1013","February",4,247.76
"197","E2-1013","July",1,62.42
"198","E2-1013","June",3,161.82
"199","E2-1013","March",1,53.94
"200","E2-1013","May",20,1182.8
