Date,orig_SO,ShipDate,Specifier,Customer,Job_Name,Summary,Product_Family,Qty,Qty_On_Order,Prob_Part,Replaced,Repl_SO,RMA,Comments,code
3/17/2020,SO99466,12/23/2019,NA,GRAYBAR ELECTRIC-ST LOUIS,LEGACY CENTRAL III - NEW RESTROOM,  REPORTED LED'S TURNING  YELLOW  ,LED,3,28,LEM-213-00-35KS,LEM-213-00-35KS,SO103383,RMA13801,,ELE
3/17/2020,SO99466,12/23/2019,NA,GRAYBAR ELECTRIC-ST LOUIS,LEGACY CENTRAL III - NEW RESTROOM,  REPORTED LED'S TURNING  YELLOW  ,LED,3,28,LEM-213-00-35KS,LEM-213-00-35KS,SO103383,RMA13801,,ELE
3/17/2020,SO52208,6/3/2016,SCHWINGHAMMER LIGHTING,SCHWINGHAMMER LIGHTING,GENERAL CATALYST // Q29619,  REPORTED DEFECTIVE ,SERVICE PARTS,4,173,SP-098-0700-2,SP-098-0700-2,SO103375,RMA13800,,ELE
3/17/2020,SO52208,6/3/2016,SCHWINGHAMMER LIGHTING,SCHWINGHAMMER LIGHTING,GENERAL CATALYST // Q29619,  REPORTED DEFECTIVE ,LED,4,173,LEM-212-00-6022KS,LEM-212-00-6022KS,SO103375,RMA13800,,ELE
3/17/2020,SO50384,4/22/2016,HDLC NY,SONEPAR - CODALE ELECTRIC,GOLDMAN SACHS BLDG 111 ,  REPORTED DEFECTIVE ,SERVICE PARTS,10,158,SP-044-0500-7,SP-044-0500-7,SO103371,RMA13799,,ELE
3/17/2020,SO51351,5/6/2016,GRUMMAN/BUTKUS ASSOCIATES,CED - EFENGEE ELECTRIC SUPPLY,OAK BROOK CENTER CONNECTOR BLDG G,REPORTED NOT LIGHTING UP,LED,2,29,LEM-240-00-35KS,LEM-240-00-35KS,SO103362,RMA13798,,ELE
3/17/2020,SO51351,5/6/2016,GRUMMAN/BUTKUS ASSOCIATES,CED - EFENGEE ELECTRIC SUPPLY,OAK BROOK CENTER CONNECTOR BLDG G,REPORTED NOT LIGHTING UP,SERVICE PARTS,3,29,SP-140-1400-2,SP-140-1400-2,SO103362,RMA13798,,ELE
3/16/2020,SO41937,5/22/2015,LIGHTSWITCH/ARIA GROUP,GRAYBAR ELECTRIC-ST LOUIS,CHICAGO HISTORY MUSEUM,REPORTED NOT LIGHTING UP,SERVICE PARTS,1,47,SP-034-0500-8,SP-034-0500-8,SO103330,RMA13795,,ELE
3/16/2020,SO97388,11/6/2019,JPC ARCHITECTS,CED-STUSSER ELECTRIC-SEATTLE,JACOBS FLOOR 5 & 6 SOUTH TOWER,  REPORTED DEFECTIVE ,LED,1,65,LEM-326-00-35KS,LEM-326-00-35KS,SO103327,RMA13794,,ELE
3/16/2020,SO92384,7/12/2019,INTERIOR ARCHITECTS,REXEL - FULLERTON,KFF LLC ,  REPORTED DEFECTIVE ,LED,1,51,LEM-203-00-35KS,LEM-203-00-35KS,SO103324,RMA13793,,ELE
3/16/2020,SO88988,5/17/2019,VALERIO DEWALT TRAIN ASSOCIATES (OOT),KENDALL ELECTRIC INC-PORTAGE,CANOPY HOTEL BY HILTON Q#38817,  REPORTED DEFECTIVE ,SERVICE PARTS,1,333,SP-140-1000-2,SP-140-1000-2,SO103320,RMA13792,,ELE
3/16/2020,SO88988,5/17/2019,VALERIO DEWALT TRAIN ASSOCIATES (OOT),KENDALL ELECTRIC INC-PORTAGE,CANOPY HOTEL BY HILTON Q#38817,  REPORTED DEFECTIVE ,LED,1,333,LEM-240-00-30KH,LEM-240-00-30KH,SO103320,RMA13792,,ELE
3/16/2020,SO93548,7/17/2019,HLB,SONEPAR/NORTHEAST ELECTRIC & EAGLE,FENWAY PARK /Q41506,  REPORTED DEFECTIVE ,SERVICE PARTS,3,263,SP-269-0350-21,SP-269-0350-21,SO103307,RMA13791,,ELE
